year,month,day,crime,count
2016.0,1.0,5,AGGRAVATED ASSAULT,1
2016.0,1.0,5,ANIMAL COMPLAINT,8
2016.0,1.0,5,BURGLARY,4
2016.0,1.0,5,CRIMES AGAINST THE PUBLIC,11
2016.0,1.0,5,DRIVING LAWS,4
2016.0,1.0,5,FOUND PERSON/PROPERTY,8
2016.0,1.0,5,HOMICIDE,1
2016.0,1.0,5,LARCENY,10
2016.0,1.0,5,MISCCRIMES AGAINST PROPERTY,3
2016.0,1.0,5,MISCMANAGEMENT INFO.,14
2016.0,1.0,5,MISCWANTS,3
2016.0,1.0,5,MISSING PERSON/PROPERTY,6
2016.0,1.0,5,MOTOR VEHICLE LAWS,3
2016.0,1.0,5,MOTOR VEHICLE THEFT,2
2016.0,1.0,5,NON-INVOLVED ACCIDENT,3
2016.0,1.0,5,PERSONAL INJURY ACCIDENT,7
2016.0,1.0,5,PROPERTY DAMAGE ACCIDENT,7
2016.0,1.0,5,RADIO SIGNAL,1
2016.0,1.0,5,REPORT-RELATED,1
2016.0,1.0,5,SHOTS FIRED,1
2016.0,1.0,5,SIMPLE ASSAULT,3
2016.0,1.0,5,SUDDEN DEATH,1
2016.0,1.0,6,AGGRAVATED ASSAULT,2
2016.0,1.0,6,ANIMAL COMPLAINT,9
2016.0,1.0,6,BURGLARY,4
2016.0,1.0,6,CRIMES AGAINST THE PUBLIC,9
2016.0,1.0,6,DRIVING LAWS,5
2016.0,1.0,6,DRUG OFFENSES,5
2016.0,1.0,6,FOUND PERSON/PROPERTY,7
2016.0,1.0,6,LARCENY,5
2016.0,1.0,6,MENTAL CASE,3
2016.0,1.0,6,MISCCRIMES AGAINST PROPERTY,5
2016.0,1.0,6,MISCMANAGEMENT INFO.,10
2016.0,1.0,6,MISCWANTS,1
2016.0,1.0,6,MOTOR VEHICLE THEFT,2
2016.0,1.0,6,NON-INVOLVED ACCIDENT,2
2016.0,1.0,6,OTHER ACCIDENT,1
2016.0,1.0,6,PERSONAL INJURY ACCIDENT,2
2016.0,1.0,6,PROPERTY DAMAGE ACCIDENT,7
2016.0,1.0,6,PUBLIC DRUNKENNESS,4
2016.0,1.0,6,RADIO SIGNAL,2
2016.0,1.0,6,REPORT-RELATED,3
2016.0,1.0,6,SHOTS FIRED,1
2016.0,1.0,6,SIMPLE ASSAULT,2
2016.0,1.0,6,SUDDEN DEATH,1
2016.0,1.0,6,WEAPONS OFFENSES,2
2016.0,1.0,7,AGGRAVATED ASSAULT,1
2016.0,1.0,7,ANIMAL COMPLAINT,8
2016.0,1.0,7,BURGLARY,2
2016.0,1.0,7,CITY ORDINANCES,1
2016.0,1.0,7,CRIMES AGAINST THE PUBLIC,10
2016.0,1.0,7,DRIVING LAWS,6
2016.0,1.0,7,DRUG OFFENSES,4
2016.0,1.0,7,DRUNK DRIVING,4
2016.0,1.0,7,FOUND PERSON/PROPERTY,5
2016.0,1.0,7,LARCENY,8
2016.0,1.0,7,MISCCRIMES AGAINST PROPERTY,3
2016.0,1.0,7,MISCMANAGEMENT INFO.,8
2016.0,1.0,7,MISCWANTS,4
2016.0,1.0,7,MISSING PERSON/PROPERTY,3
2016.0,1.0,7,MOTOR VEHICLE LAWS,3
2016.0,1.0,7,MOTOR VEHICLE THEFT,5
2016.0,1.0,7,NON-INVOLVED ACCIDENT,4
2016.0,1.0,7,PERSONAL INJURY ACCIDENT,4
2016.0,1.0,7,PROPERTY DAMAGE ACCIDENT,9
2016.0,1.0,7,RADIO SIGNAL,2
2016.0,1.0,7,REPORT-RELATED,1
2016.0,1.0,7,ROBBERY,1
2016.0,1.0,7,SHOTS FIRED,1
2016.0,1.0,7,SIMPLE ASSAULT,2
2016.0,1.0,8,AGGRAVATED ASSAULT,3
2016.0,1.0,8,ANIMAL COMPLAINT,6
2016.0,1.0,8,BURGLARY,5
2016.0,1.0,8,CARE FOR SICK,1
2016.0,1.0,8,CRIMES AGAINST THE PUBLIC,8
2016.0,1.0,8,DRIVING LAWS,2
2016.0,1.0,8,DRUG OFFENSES,6
2016.0,1.0,8,DRUNK DRIVING,1
2016.0,1.0,8,FAMILY OFFENSES,1
2016.0,1.0,8,FIRE-RELATED,1
2016.0,1.0,8,FOUND PERSON/PROPERTY,5
2016.0,1.0,8,JUDICIAL OFFENSES,1
2016.0,1.0,8,LARCENY,15
2016.0,1.0,8,MENTAL CASE,1
2016.0,1.0,8,MISCCRIMES AGAINST PROPERTY,8
2016.0,1.0,8,MISCMANAGEMENT INFO.,17
2016.0,1.0,8,MISCWANTS,4
2016.0,1.0,8,MISSING PERSON/PROPERTY,4
2016.0,1.0,8,MOTOR VEHICLE LAWS,2
2016.0,1.0,8,MOTOR VEHICLE THEFT,7
2016.0,1.0,8,NON-INVOLVED ACCIDENT,1
2016.0,1.0,8,PERSONAL INJURY ACCIDENT,7
2016.0,1.0,8,PROPERTY DAMAGE ACCIDENT,13
2016.0,1.0,8,REPORT-RELATED,2
2016.0,1.0,8,SHOTS FIRED,1
2016.0,1.0,8,SIMPLE ASSAULT,8
2016.0,1.0,9,ANIMAL COMPLAINT,5
2016.0,1.0,9,BURGLARY,4
2016.0,1.0,9,CARE FOR SICK,2
2016.0,1.0,9,CRIMES AGAINST THE PUBLIC,10
2016.0,1.0,9,DRIVING LAWS,4
2016.0,1.0,9,DRUG OFFENSES,1
2016.0,1.0,9,FIRE-RELATED,2
2016.0,1.0,9,FOUND PERSON/PROPERTY,4
2016.0,1.0,9,JUDICIAL OFFENSES,3
2016.0,1.0,9,LARCENY,10
2016.0,1.0,9,MENTAL CASE,1
2016.0,1.0,9,MISCCRIMES AGAINST PROPERTY,3
2016.0,1.0,9,MISCMANAGEMENT INFO.,5
2016.0,1.0,9,MISCWANTS,6
2016.0,1.0,9,MISSING PERSON/PROPERTY,2
2016.0,1.0,9,MOTOR VEHICLE LAWS,3
2016.0,1.0,9,MOTOR VEHICLE THEFT,2
2016.0,1.0,9,NON-INVOLVED ACCIDENT,7
2016.0,1.0,9,PERSONAL INJURY ACCIDENT,2
2016.0,1.0,9,PROPERTY DAMAGE ACCIDENT,8
2016.0,1.0,9,PUBLIC DRUNKENNESS,2
2016.0,1.0,9,RADIO SIGNAL,2
2016.0,1.0,9,ROBBERY,1
2016.0,1.0,9,SIMPLE ASSAULT,6
2016.0,1.0,10,ANIMAL COMPLAINT,1
2016.0,1.0,10,BURGLARY,6
2016.0,1.0,10,CARE FOR SICK,1
2016.0,1.0,10,CITY ORDINANCES,1
2016.0,1.0,10,CRIMES AGAINST THE PUBLIC,2
2016.0,1.0,10,DRIVING LAWS,4
2016.0,1.0,10,FAMILY OFFENSES,1
2016.0,1.0,10,FOUND PERSON/PROPERTY,1
2016.0,1.0,10,JUDICIAL OFFENSES,4
2016.0,1.0,10,LARCENY,12
2016.0,1.0,10,MENTAL CASE,1
2016.0,1.0,10,MISCCRIMES AGAINST PROPERTY,3
2016.0,1.0,10,MISCMANAGEMENT INFO.,11
2016.0,1.0,10,MISSING PERSON/PROPERTY,5
2016.0,1.0,10,MOTOR VEHICLE LAWS,1
2016.0,1.0,10,MOTOR VEHICLE THEFT,1
2016.0,1.0,10,OTHER ACCIDENT,1
2016.0,1.0,10,PERSONAL INJURY ACCIDENT,4
2016.0,1.0,10,PROPERTY DAMAGE ACCIDENT,10
2016.0,1.0,10,RADIO SIGNAL,2
2016.0,1.0,10,REPORT-RELATED,2
2016.0,1.0,10,SHOTS FIRED,6
2016.0,1.0,10,SIMPLE ASSAULT,4
2016.0,1.0,10,SUDDEN DEATH,1
2016.0,1.0,10,WEAPONS OFFENSES,1
2016.0,1.0,11,AGGRAVATED ASSAULT,1
2016.0,1.0,11,ANIMAL COMPLAINT,10
2016.0,1.0,11,BURGLARY,2
2016.0,1.0,11,CARE FOR SICK,1
2016.0,1.0,11,CRIMES AGAINST THE PUBLIC,13
2016.0,1.0,11,DRIVING LAWS,2
2016.0,1.0,11,FAMILY OFFENSES,1
2016.0,1.0,11,FORGERY/COUNTERFEITING,1
2016.0,1.0,11,FOUND PERSON/PROPERTY,16
2016.0,1.0,11,JUDICIAL OFFENSES,1
2016.0,1.0,11,LARCENY,11
2016.0,1.0,11,MISCCRIMES AGAINST PROPERTY,4
2016.0,1.0,11,MISCMANAGEMENT INFO.,58
2016.0,1.0,11,MISCWANTS,2
2016.0,1.0,11,MISSING PERSON/PROPERTY,3
2016.0,1.0,11,MOTOR VEHICLE THEFT,2
2016.0,1.0,11,PERSONAL INJURY ACCIDENT,2
2016.0,1.0,11,PROPERTY DAMAGE ACCIDENT,11
2016.0,1.0,11,PUBLIC DRUNKENNESS,1
2016.0,1.0,11,RADIO SIGNAL,1
2016.0,1.0,11,REPORT-RELATED,2
2016.0,1.0,11,SHOTS FIRED,2
2016.0,1.0,11,SIMPLE ASSAULT,4
2016.0,1.0,12,AGGRAVATED ASSAULT,3
2016.0,1.0,12,ANIMAL COMPLAINT,7
2016.0,1.0,12,BURGLARY,3
2016.0,1.0,12,CRIMES AGAINST THE PUBLIC,11
2016.0,1.0,12,DRIVING LAWS,1
2016.0,1.0,12,DRUG OFFENSES,9
2016.0,1.0,12,FIRE-RELATED,1
2016.0,1.0,12,FOUND PERSON/PROPERTY,4
2016.0,1.0,12,JUDICIAL OFFENSES,2
2016.0,1.0,12,LARCENY,10
2016.0,1.0,12,MENTAL CASE,1
2016.0,1.0,12,MISCCRIMES AGAINST PROPERTY,6
2016.0,1.0,12,MISCMANAGEMENT INFO.,18
2016.0,1.0,12,MISCWANTS,8
2016.0,1.0,12,MISSING PERSON/PROPERTY,2
2016.0,1.0,12,MOTOR VEHICLE LAWS,1
2016.0,1.0,12,MOTOR VEHICLE THEFT,1
2016.0,1.0,12,OTHER ACCIDENT,1
2016.0,1.0,12,PERSONAL INJURY ACCIDENT,1
2016.0,1.0,12,PROPERTY DAMAGE ACCIDENT,17
2016.0,1.0,12,PUBLIC DRUNKENNESS,3
2016.0,1.0,12,RADIO SIGNAL,1
2016.0,1.0,12,REPORT-RELATED,4
2016.0,1.0,12,SHOTS FIRED,2
2016.0,1.0,12,SIMPLE ASSAULT,3
2016.0,1.0,13,AGGRAVATED ASSAULT,2
2016.0,1.0,13,ANIMAL COMPLAINT,10
2016.0,1.0,13,BURGLARY,4
2016.0,1.0,13,CRIMES AGAINST THE PUBLIC,6
2016.0,1.0,13,DRIVING LAWS,1
2016.0,1.0,13,FAMILY OFFENSES,1
2016.0,1.0,13,FORGERY/COUNTERFEITING,1
2016.0,1.0,13,FOUND PERSON/PROPERTY,7
2016.0,1.0,13,FRAUD/EMBEZZLEMENT/EXTORTION,1
2016.0,1.0,13,JUDICIAL OFFENSES,2
2016.0,1.0,13,LARCENY,17
2016.0,1.0,13,MENTAL CASE,3
2016.0,1.0,13,MISCCRIMES AGAINST PROPERTY,4
2016.0,1.0,13,MISCMANAGEMENT INFO.,41
2016.0,1.0,13,MISSING PERSON/PROPERTY,1
2016.0,1.0,13,MOTOR VEHICLE LAWS,2
2016.0,1.0,13,MOTOR VEHICLE THEFT,1
2016.0,1.0,13,OTHER ACCIDENT,2
2016.0,1.0,13,PERSONAL INJURY ACCIDENT,2
2016.0,1.0,13,PROPERTY DAMAGE ACCIDENT,10
2016.0,1.0,13,PUBLIC DRUNKENNESS,1
2016.0,1.0,13,REPORT-RELATED,2
2016.0,1.0,13,ROBBERY,1
2016.0,1.0,13,SIMPLE ASSAULT,7
2016.0,1.0,14,ANIMAL COMPLAINT,4
2016.0,1.0,14,BURGLARY,4
2016.0,1.0,14,CITY ORDINANCES,1
2016.0,1.0,14,CRIMES AGAINST THE PUBLIC,11
2016.0,1.0,14,DRIVING LAWS,1
2016.0,1.0,14,DRUG OFFENSES,9
2016.0,1.0,14,DRUNK DRIVING,2
2016.0,1.0,14,FAMILY OFFENSES,1
2016.0,1.0,14,FORGERY/COUNTERFEITING,2
2016.0,1.0,14,FOUND PERSON/PROPERTY,5
2016.0,1.0,14,FRAUD/EMBEZZLEMENT/EXTORTION,1
2016.0,1.0,14,JUDICIAL OFFENSES,1
2016.0,1.0,14,LARCENY,12
2016.0,1.0,14,MENTAL CASE,1
2016.0,1.0,14,MISCCRIMES AGAINST PROPERTY,9
2016.0,1.0,14,MISCMANAGEMENT INFO.,21
2016.0,1.0,14,MISCWANTS,3
2016.0,1.0,14,MISSING PERSON/PROPERTY,2
2016.0,1.0,14,MOTOR VEHICLE LAWS,1
2016.0,1.0,14,MOTOR VEHICLE THEFT,2
2016.0,1.0,14,NON-INVOLVED ACCIDENT,1
2016.0,1.0,14,PERSONAL INJURY ACCIDENT,2
2016.0,1.0,14,PROPERTY DAMAGE ACCIDENT,13
2016.0,1.0,14,REPORT-RELATED,3
2016.0,1.0,14,SIMPLE ASSAULT,6
2016.0,1.0,14,WEAPONS OFFENSES,1
2016.0,1.0,15,AGGRAVATED ASSAULT,1
2016.0,1.0,15,ANIMAL COMPLAINT,6
2016.0,1.0,15,BURGLARY,5
2016.0,1.0,15,CARE FOR SICK,2
2016.0,1.0,15,CRIMES AGAINST THE PUBLIC,11
2016.0,1.0,15,DRIVING LAWS,5
2016.0,1.0,15,DRUG OFFENSES,4
2016.0,1.0,15,DRUNK DRIVING,1
2016.0,1.0,15,FORGERY/COUNTERFEITING,2
2016.0,1.0,15,FOUND PERSON/PROPERTY,2
2016.0,1.0,15,FRAUD/EMBEZZLEMENT/EXTORTION,1
2016.0,1.0,15,LARCENY,14
2016.0,1.0,15,MENTAL CASE,2
2016.0,1.0,15,MISCCRIMES AGAINST PROPERTY,8
2016.0,1.0,15,MISCMANAGEMENT INFO.,6
2016.0,1.0,15,MISCWANTS,7
2016.0,1.0,15,MISSING PERSON/PROPERTY,5
2016.0,1.0,15,MOTOR VEHICLE LAWS,3
2016.0,1.0,15,MOTOR VEHICLE THEFT,4
2016.0,1.0,15,OTHER ACCIDENT,1
2016.0,1.0,15,PERSONAL INJURY ACCIDENT,3
2016.0,1.0,15,PROPERTY DAMAGE ACCIDENT,16
2016.0,1.0,15,PUBLIC DRUNKENNESS,1
2016.0,1.0,15,RADIO SIGNAL,1
2016.0,1.0,15,ROBBERY,2
2016.0,1.0,15,SHOTS FIRED,2
2016.0,1.0,15,SIMPLE ASSAULT,3
2016.0,1.0,16,AGGRAVATED ASSAULT,3
2016.0,1.0,16,ANIMAL COMPLAINT,1
2016.0,1.0,16,BURGLARY,2
2016.0,1.0,16,CITY ORDINANCES,1
2016.0,1.0,16,CRIMES AGAINST THE PUBLIC,9
2016.0,1.0,16,DRIVING LAWS,3
2016.0,1.0,16,DRUG OFFENSES,2
2016.0,1.0,16,FIRE-RELATED,1
2016.0,1.0,16,FOUND PERSON/PROPERTY,2
2016.0,1.0,16,LARCENY,13
2016.0,1.0,16,MENTAL CASE,4
2016.0,1.0,16,MISCCRIMES AGAINST PROPERTY,7
2016.0,1.0,16,MISCMANAGEMENT INFO.,4
2016.0,1.0,16,MISCWANTS,1
2016.0,1.0,16,MISSING PERSON/PROPERTY,3
2016.0,1.0,16,MOTOR VEHICLE THEFT,5
2016.0,1.0,16,OTHER ACCIDENT,1
2016.0,1.0,16,PERSONAL INJURY ACCIDENT,6
2016.0,1.0,16,PROPERTY DAMAGE ACCIDENT,8
2016.0,1.0,16,PUBLIC DRUNKENNESS,1
2016.0,1.0,16,RADIO SIGNAL,3
2016.0,1.0,16,ROBBERY,1
2016.0,1.0,16,SHOTS FIRED,2
2016.0,1.0,16,SIMPLE ASSAULT,4
2016.0,1.0,17,AGGRAVATED ASSAULT,6
2016.0,1.0,17,ANIMAL COMPLAINT,2
2016.0,1.0,17,BURGLARY,1
2016.0,1.0,17,CARE FOR SICK,2
2016.0,1.0,17,CRIMES AGAINST THE PUBLIC,13
2016.0,1.0,17,DRIVING LAWS,1
2016.0,1.0,17,FIRE-RELATED,1
2016.0,1.0,17,FORGERY/COUNTERFEITING,1
2016.0,1.0,17,FOUND PERSON/PROPERTY,4
2016.0,1.0,17,JUDICIAL OFFENSES,2
2016.0,1.0,17,LANDLORD-TENANT,1
2016.0,1.0,17,LARCENY,13
2016.0,1.0,17,MENTAL CASE,2
2016.0,1.0,17,MISCCRIMES AGAINST PROPERTY,7
2016.0,1.0,17,MISCMANAGEMENT INFO.,2
2016.0,1.0,17,MISSING PERSON/PROPERTY,3
2016.0,1.0,17,MOTOR VEHICLE LAWS,1
2016.0,1.0,17,MOTOR VEHICLE THEFT,2
2016.0,1.0,17,OTHER ACCIDENT,2
2016.0,1.0,17,PROPERTY DAMAGE ACCIDENT,7
2016.0,1.0,17,REPORT-RELATED,2
2016.0,1.0,17,SIMPLE ASSAULT,6
2016.0,1.0,18,AGGRAVATED ASSAULT,4
2016.0,1.0,18,ANIMAL COMPLAINT,1
2016.0,1.0,18,CITY ORDINANCES,1
2016.0,1.0,18,CRIMES AGAINST THE PUBLIC,10
2016.0,1.0,18,DRIVING LAWS,2
2016.0,1.0,18,DRUG OFFENSES,1
2016.0,1.0,18,DRUNK DRIVING,1
2016.0,1.0,18,FOUND PERSON/PROPERTY,3
2016.0,1.0,18,JUDICIAL OFFENSES,1
2016.0,1.0,18,LARCENY,6
2016.0,1.0,18,MENTAL CASE,1
2016.0,1.0,18,MISCCRIMES AGAINST PROPERTY,9
2016.0,1.0,18,MISCMANAGEMENT INFO.,13
2016.0,1.0,18,MISSING PERSON/PROPERTY,2
2016.0,1.0,18,MOTOR VEHICLE LAWS,2
2016.0,1.0,18,MOTOR VEHICLE THEFT,1
2016.0,1.0,18,NON-INVOLVED ACCIDENT,4
2016.0,1.0,18,OTHER ACCIDENT,1
2016.0,1.0,18,PERSONAL INJURY ACCIDENT,4
2016.0,1.0,18,PROPERTY DAMAGE ACCIDENT,10
2016.0,1.0,18,RADIO SIGNAL,2
2016.0,1.0,18,REPORT-RELATED,1
2016.0,1.0,18,SHOTS FIRED,1
2016.0,1.0,18,SIMPLE ASSAULT,7
2016.0,1.0,18,SUDDEN DEATH,2
2016.0,1.0,19,AGGRAVATED ASSAULT,4
2016.0,1.0,19,ANIMAL COMPLAINT,11
2016.0,1.0,19,BURGLARY,3
2016.0,1.0,19,CARE FOR SICK,1
2016.0,1.0,19,CRIMES AGAINST THE PUBLIC,8
2016.0,1.0,19,DRIVING LAWS,5
2016.0,1.0,19,DRUG OFFENSES,3
2016.0,1.0,19,FIRE-RELATED,1
2016.0,1.0,19,FOUND PERSON/PROPERTY,6
2016.0,1.0,19,JUDICIAL OFFENSES,1
2016.0,1.0,19,LANDLORD-TENANT,1
2016.0,1.0,19,LARCENY,8
2016.0,1.0,19,MENTAL CASE,2
2016.0,1.0,19,MISCCRIMES AGAINST PROPERTY,5
2016.0,1.0,19,MISCMANAGEMENT INFO.,44
2016.0,1.0,19,MISCWANTS,2
2016.0,1.0,19,MISSING PERSON/PROPERTY,3
2016.0,1.0,19,MOTOR VEHICLE LAWS,1
2016.0,1.0,19,MOTOR VEHICLE THEFT,1
2016.0,1.0,19,OTHER ACCIDENT,1
2016.0,1.0,19,PERSONAL INJURY ACCIDENT,3
2016.0,1.0,19,PROPERTY DAMAGE ACCIDENT,11
2016.0,1.0,19,REPORT-RELATED,4
2016.0,1.0,19,SHOTS FIRED,1
2016.0,1.0,19,SIMPLE ASSAULT,11
2016.0,1.0,20,ANIMAL COMPLAINT,9
2016.0,1.0,20,BURGLARY,4
2016.0,1.0,20,CRIMES AGAINST THE PUBLIC,4
2016.0,1.0,20,DRIVING LAWS,4
2016.0,1.0,20,DRUG OFFENSES,1
2016.0,1.0,20,FIRE-RELATED,1
2016.0,1.0,20,FOUND PERSON/PROPERTY,5
2016.0,1.0,20,JUDICIAL OFFENSES,2
2016.0,1.0,20,LARCENY,13
2016.0,1.0,20,MISCCRIMES AGAINST PROPERTY,2
2016.0,1.0,20,MISCMANAGEMENT INFO.,10
2016.0,1.0,20,MISCWANTS,1
2016.0,1.0,20,MISSING PERSON/PROPERTY,4
2016.0,1.0,20,MOTOR VEHICLE LAWS,1
2016.0,1.0,20,MOTOR VEHICLE THEFT,3
2016.0,1.0,20,PERSONAL INJURY ACCIDENT,5
2016.0,1.0,20,PROPERTY DAMAGE ACCIDENT,20
2016.0,1.0,20,PUBLIC DRUNKENNESS,1
2016.0,1.0,20,ROBBERY,1
2016.0,1.0,20,SHOTS FIRED,1
2016.0,1.0,20,SIMPLE ASSAULT,2
2016.0,1.0,20,SUDDEN DEATH,1
2016.0,1.0,20,SUICIDE,1
2016.0,1.0,21,AGGRAVATED ASSAULT,5
2016.0,1.0,21,ANIMAL COMPLAINT,7
2016.0,1.0,21,BURGLARY,2
2016.0,1.0,21,CARE FOR SICK,2
2016.0,1.0,21,CRIMES AGAINST THE PUBLIC,13
2016.0,1.0,21,DRIVING LAWS,1
2016.0,1.0,21,DRUG OFFENSES,1
2016.0,1.0,21,DRUNK DRIVING,3
2016.0,1.0,21,FIRE-RELATED,3
2016.0,1.0,21,FOUND PERSON/PROPERTY,2
2016.0,1.0,21,JUDICIAL OFFENSES,2
2016.0,1.0,21,LARCENY,7
2016.0,1.0,21,MENTAL CASE,1
2016.0,1.0,21,MISCCRIMES AGAINST PROPERTY,3
2016.0,1.0,21,MISCMANAGEMENT INFO.,6
2016.0,1.0,21,MISCWANTS,1
2016.0,1.0,21,MOTOR VEHICLE LAWS,1
2016.0,1.0,21,MOTOR VEHICLE THEFT,2
2016.0,1.0,21,NON-INVOLVED ACCIDENT,1
2016.0,1.0,21,OTHER ACCIDENT,1
2016.0,1.0,21,PERSONAL INJURY ACCIDENT,6
2016.0,1.0,21,PROPERTY DAMAGE ACCIDENT,11
2016.0,1.0,21,PUBLIC DRUNKENNESS,1
2016.0,1.0,21,RADIO SIGNAL,1
2016.0,1.0,21,REPORT-RELATED,1
2016.0,1.0,21,ROBBERY,1
2016.0,1.0,21,SHOTS FIRED,1
2016.0,1.0,21,SIMPLE ASSAULT,7
2016.0,1.0,21,SUDDEN DEATH,1
2016.0,1.0,21,WEAPONS OFFENSES,2
2016.0,1.0,22,AGGRAVATED ASSAULT,4
2016.0,1.0,22,ANIMAL COMPLAINT,3
2016.0,1.0,22,BURGLARY,2
2016.0,1.0,22,CITY ORDINANCES,7
2016.0,1.0,22,CRIMES AGAINST THE PUBLIC,16
2016.0,1.0,22,DRUG OFFENSES,1
2016.0,1.0,22,FAMILY OFFENSES,1
2016.0,1.0,22,FIRE-RELATED,1
2016.0,1.0,22,FOUND PERSON/PROPERTY,2
2016.0,1.0,22,JUDICIAL OFFENSES,1
2016.0,1.0,22,LARCENY,15
2016.0,1.0,22,MISCCRIMES AGAINST PROPERTY,5
2016.0,1.0,22,MISCMANAGEMENT INFO.,7
2016.0,1.0,22,MISCWANTS,5
2016.0,1.0,22,MISSING PERSON/PROPERTY,1
2016.0,1.0,22,MOTOR VEHICLE LAWS,2
2016.0,1.0,22,MOTOR VEHICLE THEFT,1
2016.0,1.0,22,NON-INVOLVED ACCIDENT,4
